"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","sent1","sent2","sent3","sent4"
"xx28163325","xx1513948982480814080","2022-04-12 18:35:39","ClarkPlanet","NASA has a new spacecraft<U+0001F680> 
CHECK. IT. OUT! 

https://t.co/sInX7YLJpS","Twitter Web App",69,,,"",FALSE,FALSE,0,0,,,"",,"jpl.nasa.gov/news/nasa-showâ€¦","https://t.co/sInX7YLJpS","https://www.jpl.nasa.gov/news/nasa-shows-off-psyche-spacecraft-to-media","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ClarkPlanet/status/1513948982480814080","clarkplanet","Salt Lake City, Utah","Open Sunday through Thursday, 10 a.m. to 7 p.m., Friday and Saturday 10 a.m. to 10:45 p.m.","https://t.co/fKiulQ3cHJ",FALSE,5635,1157,263,9316,897,"2009-04-01 18:37:03",FALSE,"https://t.co/fKiulQ3cHJ","http://www.clarkplanetarium.org",,"https://pbs.twimg.com/profile_banners/28163325/1649094014","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1511035928906588164/lYmJxCG3_normal.jpg",0.8,0,0,0
"xx28163325","xx1513943410079518723","2022-04-12 18:13:31","ClarkPlanet","NASAâ€™s Self-Driving Perseverance Mars Rover Is Breaking Records
Click the link for more information: 
https://t.co/1QkrhFUbD4","Twitter Web App",125,,,"",FALSE,FALSE,0,0,,,"",,"youtu.be/E3xWCqPBUFU?liâ€¦","https://t.co/1QkrhFUbD4","https://youtu.be/E3xWCqPBUFU?list=PLTiv_XWHnOZqCrMU2ppcLjRn1zlDkNx3q","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ClarkPlanet/status/1513943410079518723","clarkplanet","Salt Lake City, Utah","Open Sunday through Thursday, 10 a.m. to 7 p.m., Friday and Saturday 10 a.m. to 10:45 p.m.","https://t.co/fKiulQ3cHJ",FALSE,5635,1157,263,9316,897,"2009-04-01 18:37:03",FALSE,"https://t.co/fKiulQ3cHJ","http://www.clarkplanetarium.org",,"https://pbs.twimg.com/profile_banners/28163325/1649094014","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/1511035928906588164/lYmJxCG3_normal.jpg",0.8,0,1,0
"xx877941223578898433","xx1513948970212548609","2022-04-12 18:35:36","mxilovecookies","nasa image of the day https://t.co/0DV3wjVAZg","Twitter for iPhone",21,,,"",FALSE,FALSE,0,0,,,"",,"","","","http://pbs.twimg.com/media/FQKgkARXwAMlqg4.jpg","https://t.co/0DV3wjVAZg","https://twitter.com/mxilovecookies/status/1513948970212548609/photo/1","photo","http://pbs.twimg.com/media/FQKgkARXwAMlqg4.jpg","https://t.co/0DV3wjVAZg","https://twitter.com/mxilovecookies/status/1513948970212548609/photo/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mxilovecookies/status/1513948970212548609","jupiter??","they/them || 18 ","<U+2643> <U+0001F680><U+0001F4AB> â€œBe proud of your place in the cosmos. it is small, and yet, it is.â€ <U+0001F3F3><U+FE0F><U+200D><U+26A7><U+FE0F><U+0001F3F3><U+FE0F><U+200D><U+0001F308>","",FALSE,187,367,7,16894,132483,"2017-06-22 17:27:53",FALSE,"","",,"https://pbs.twimg.com/profile_banners/877941223578898433/1649383243","","http://pbs.twimg.com/profile_images/1512248907488796678/HYPcRQZ7_normal.jpg",0,0,0,0
"xx59240990","xx1513948951979995148","2022-04-12 18:35:32","MrTopple","finally we can be put out of our fucking misery https://t.co/0aWKSryK4Y","Twitter for Android",71,,,"",FALSE,FALSE,0,0,,,"",,"independent.co.uk/space/nasa-comâ€¦","https://t.co/0aWKSryK4Y","https://www.independent.co.uk/space/nasa-comet-asteroid-hubble-telescope-b2056434.html","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MrTopple/status/1513948951979995148","Steve Topple","Council Estate, Bromley London","Staff Writer @TheCanaryUK

Journalist @BywireNews

Vibes @Reggaeville @PauzeRadio

Music Publicist 

Project lead @ #CanaryAmplify

Views my own etc.","https://t.co/hS8CgTK0hO",FALSE,34436,5102,331,157827,74242,"2009-07-22 20:35:32",TRUE,"https://t.co/hS8CgTK0hO","http://about.me/stevetopple",,"https://pbs.twimg.com/profile_banners/59240990/1638391265","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1356158011270688770/rP1i6OP7_normal.jpg",-1.35,-6,0,-2
"xx1512495436891893762","xx1513948924251455504","2022-04-12 18:35:26","GoisonChills","@NASASolarSystem @NASA Go to Mars or I unfollow","Twitter for iPhone",24,"xx1513931685556940801","xx15165493","NASASolarSystem",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx15165493 xx11348282","NASASolarSystem NASA","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GoisonChills/status/1513948924251455504","Goison","","Cubs, Blackhawks, Bulls, Steelers, and Harden.","",FALSE,60,150,2,367,289,"2022-04-08 18:19:54",FALSE,"","",,"","","http://pbs.twimg.com/profile_images/1512495505804255237/oRzHG_XK_normal.jpg",0,0,0,0
"xx1459262039122141185","xx1513948792525099011","2022-04-12 18:34:54","_MadBuilder_","@kensavage It is a pre-covid 19 idea. Reading a NASA paper that talked about air purification with plants in closed environments, I began to investigate, and I have even created a startup (https://t.co/ZlsApk5Npy).

It's so important to be inspired and creative, to breathe quality air. :)","Twitter Web App",278,"xx1513947385466077185","xx8436612","kensavage",FALSE,FALSE,0,0,,,"",,"blava.hspaces.io","https://t.co/ZlsApk5Npy","http://blava.hspaces.io","","","","","","","",,"xx8436612","kensavage","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/_MadBuilder_/status/1513948792525099011","JB","World","Former CTO. Now #buildinginpublic and talking about #cybersecurity #saas and other stuff. Running https://t.co/jEZ8O50uSy and launching DragonSec, a webapp security scanner.","https://t.co/jCpBxtlCkK",FALSE,61,238,4,447,639,"2021-11-12 20:49:24",FALSE,"https://t.co/jCpBxtlCkK","https://treem.live",,"https://pbs.twimg.com/profile_banners/1459262039122141185/1646672877","","http://pbs.twimg.com/profile_images/1476321431105552393/lLqCIYyD_normal.jpg",3.35,8,6,2
"xx1464698043102552065","xx1513948752654094340","2022-04-12 18:34:45","Habaaaaaaaaa","@hashallthehash @Timcast Yeah I'm an aerospace/propulsion engineer. Started interning for nasa my first year in college. Never seen someone get so triggered about someone having a career lmao must be a welfare type","Twitter for Android",189,"xx1513947735371694085","xx747638475248275456","hashallthehash",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx747638475248275456 xx27000730","hashallthehash Timcast","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Habaaaaaaaaa/status/1513948752654094340","Haba","","","",FALSE,8,80,1,1848,105,"2021-11-27 20:50:10",FALSE,"","",,"https://pbs.twimg.com/profile_banners/1464698043102552065/1649033324","","http://pbs.twimg.com/profile_images/1510780978062667780/TsLYfEGh_normal.jpg",0,5,1,0
"xx1507334840282189830","xx1513948751957741576","2022-04-12 18:34:44","tom01117","@floki_nasa Good project #altercdo #Albether #ImranKhan","Twitter for iPhone",43,"xx1504132305031352321","xx1504118770247221249","floki_nasa",FALSE,FALSE,0,0,,,"altercdo Albether ImranKhan",,"","","","","","","","","","",,"xx1504118770247221249","floki_nasa","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/tom01117/status/1513948751957741576","@tom_0-11","","","",FALSE,3,32,0,42,38,"2022-03-25 12:33:42",FALSE,"","",,"","","http://pbs.twimg.com/profile_images/1507335035636142093/Uidp2mMF_normal.jpg",0.75,3,1,1
"xx2412555163","xx1513948728922677250","2022-04-12 18:34:39","ratemytopics","NASAâ€™s mega moon rocketâ€™s next prelaunch test attempt beginsÂ Tuesday https://t.co/RQgHMPDdPM","WordPress.com",92,,,"",FALSE,FALSE,0,0,,,"",,"ratemytopics.com/2022/04/12/nasâ€¦","https://t.co/RQgHMPDdPM","https://ratemytopics.com/2022/04/12/nasas-mega-moon-rockets-next-prelaunch-test-attempt-begins-tuesday/","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ratemytopics/status/1513948728922677250","Dawn Hargrove","","","",FALSE,387,27,2,115963,0,"2014-03-26 12:40:47",FALSE,"","",,"","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/448803336980930560/lkrCJIU-_normal.png",0,0,0,0
"xx227947565","xx1513948712346832902","2022-04-12 18:34:35","zachary_bergen","@Snubs Omg that comment, Uber with rock was this guy buried? <U+0001F602> as if women donâ€™t know anything? There are so many women that are doing amazing things at NASA, SpaceX, Virgin Galactic, ULA and many other space companies. You keep going youâ€™re doing great <U+0001F44D>","Twitter for iPhone",248,"xx1513672569269809153","xx14203895","Snubs",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx14203895","Snubs","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/zachary_bergen/status/1513948712346832902","Zachary 3D Prints<U+0001F308>","Venray, Nederland","Iâ€™m a content creator on YouTube. love for 3D printing, Zachary 3D Prints. Iâ€™m always looking for news about 3D printing for the channel, please DM me.","https://t.co/pnLzk4wE9s",FALSE,1446,1393,12,24167,70639,"2010-12-18 08:13:16",FALSE,"https://t.co/pnLzk4wE9s","https://www.youtube.com/channel/UCNeO7Ztm3vPwK1WLZCf6Qyg",,"https://pbs.twimg.com/profile_banners/227947565/1620385121","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1277648984060891144/uD0DjLRM_normal.jpg",-0.2,5,2,2
